    E(eV)    dE(eV)  Phi(deg)    dPhi      Theta    dTheta   Log10(FDV)
				(deg)      (deg)    (deg)     FDV in s^3/km^3/cm^3
  33.3877   10.4940  205.1250   22.5000   11.2500   22.5000  -10.7158
  33.3877   10.4940  182.6250   22.5000   11.2500   22.5000  -10.6658
  33.3877   10.4940  205.1250   22.5000   33.7500   22.5000  -10.7475
  33.3877   10.4940  182.6250   22.5000   33.7500   22.5000  -10.7092
  33.3877   10.4940  238.8750   45.0000   56.2500   22.5000  -10.9739
  33.3877   10.4940  193.8750   45.0000   56.2500   22.5000  -10.8322
  33.3877   10.4940  216.3750   90.0000   78.7500   22.5000  -11.0440
  33.3877   10.4940   47.6250   22.5000  -11.2500   22.5000  -11.3740
  33.3877   10.4940   70.1250   22.5000  -11.2500   22.5000  -11.2541
  33.3877   10.4940   47.6250   22.5000  -33.7500   22.5000  -11.3116
  33.3877   10.4940   70.1250   22.5000  -33.7500   22.5000  -11.2125
  33.3877   10.4940   25.1250   22.5000  -11.2500   22.5000  -11.4675
  33.3877   10.4940    2.6250   22.5000  -11.2500   22.5000  -11.5115
  33.3877   10.4940   25.1250   22.5000  -33.7500   22.5000  -11.3828
  33.3877   10.4940    2.6250   22.5000  -33.7500   22.5000  -11.4016
  33.3877   10.4940   58.8750   45.0000  -56.2500   22.5000  -11.1630
  33.3877   10.4940   13.8750   45.0000  -56.2500   22.5000  -11.2527
  33.3877   10.4940   36.3750   90.0000  -78.7500   22.5000  -11.0999
  33.3877   10.4940   47.6250   22.5000   11.2500   22.5000  -11.4049
  33.3877   10.4940   70.1250   22.5000   11.2500   22.5000  -11.2739
  33.3877   10.4940   47.6250   22.5000   33.7500   22.5000  -11.3769
  33.3877   10.4940   70.1250   22.5000   33.7500   22.5000  -11.2475
  33.3877   10.4940   25.1250   22.5000   11.2500   22.5000  -11.4839
  33.3877   10.4940    2.6250   22.5000   11.2500   22.5000  -11.5265
  33.3877   10.4940   25.1250   22.5000   33.7500   22.5000  -11.4368
  33.3877   10.4940    2.6250   22.5000   33.7500   22.5000  -11.4509
  33.3877   10.4940   58.8750   45.0000   56.2500   22.5000  -11.2501
  33.3877   10.4940   13.8750   45.0000   56.2500   22.5000  -11.3200
  33.3877   10.4940   36.3750   90.0000   78.7500   22.5000  -11.1757
